vendor,name,spec,price,image_url,category,검색_쿼리,추정_인터넷총가,표본수,상태,최저가_링크,군마트가격(원),군마트_추출용량(g/ml),할인율(%)
(주)오뚜기,1/2하프마요네스,525g,"4,330원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36924&type=1,식품,오뚜기 1/2하프마요네스 525g,6980.0,20,Success,https://smartstore.naver.com/main/products/7114685513,4330,525.0,38.0
(주)오뚜기,오뚜기 마열라면,105g,"1,170원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36926&type=1,식품,오뚜기 오뚜기 마열라면 105g,10775.0,20,Success,https://smartstore.naver.com/main/products/9392000158,1170,105.0,89.1
씨제이제일제당(주),백설 자일로스 설탕,1kg,"4,050원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35588&type=1,식품,씨제이제일제당 백설 자일로스 설탕 1kg,4480.0,20,Success,https://search.shopping.naver.com/catalog/51929204819,4050,1000.0,9.6
㈜퍼플랩스헬스케어,더다른 아르기닌 오르니틴,308g/22gx14포,"14,200원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35618&type=1,건강기능식품,㈜퍼플랩스헬스케어 더다른 아르기닌 오르니틴 308g/22gx14포,,0,Capacity Parse Failed,,14200,308.0,
다원바이오,캐모마일차,50개입,"10,420원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35676&type=1,음료,다원바이오 캐모마일차 50개입,,0,Cache Miss,,10420,,
이멕스무역(주),미고랭라면 컵라면,70g,"1,150원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35678&type=1,식품,이멕스무역 미고랭라면 컵라면 70g,1490.0,4,Success,https://affiliate.homeplus.co.kr/external/bridge?channelId=1000006&targetUrl=https%3A%2F%2Ffront.homeplus.co.kr%2Fitem%3FitemNo%3DEX068995837%26storeType%3DEXP,1150,70.0,22.8
매일유업(주),(영외)맘마밀 안심이유식 아스파라거스와 닭가슴살,100g,"1,400원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35590&type=1,식품,매일유업 영외 맘마밀 안심이유식 아스파라거스와 닭가슴살 100g,20850.0,20,Success,https://search.shopping.naver.com/catalog/55284534103,1400,100.0,93.3
풀무원식품 주식회사,식물성 지구식단 런천미트_190g,190g,"2,780원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35586&type=1,식품,풀무원식품 식물성 지구식단 런천미트_190g,3470.0,20,Success,https://smartstore.naver.com/main/products/10694691820,2780,190.0,19.9
(주)오뚜기,오뚜기 해물짬뽕,600 g,"3,900원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35504&type=1,식품,오뚜기 오뚜기 해물짬뽕 600 g,4980.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4379313257&sub-id=1003&service-code=10000003&lcd=100000036,3900,600.0,21.7
여주정미소,(영외)여주쌀 4kg,4kg,"25,800원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35632&type=1,식품,여주정미소 영외 여주쌀 4kg,29450.0,20,Success,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9360555036&ctag=9360555036&lptag=I27774179766&itemId=27774179766&vendorItemId=94734602536&spec=10305199,25800,4000.0,12.4
